Year,Unit APY1,Unit APY2,Unit PAR1,Unit PAR2,Unit PAR,Unit NFT,Kilo APY1,Kilo APY2,Kilo PAR1,Kilo PAR2,Kilo PAR,Kilo NFT,Mega APY1,Mega APY2,Mega PAR1,Mega PAR2,Mega PAR,Mega NFT,Giga APY1,Giga APY2,Giga PAR1,Giga PAR2,Giga PAR,Giga NFT,Tera APY1,Tera APY2,Tera PAR1,Tera PAR2,Tera PAR,Tera NFT,Peta APY1,Peta APY2,Peta PAR1,Peta PAR2,Peta PAR,Peta NFT
0,0.00,0.00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,101.00,100.01,1.00E+03,1.00E+03,1.00E+03,1.00E+03,102.00,100.01,1.00E+06,1.00E+06,1.00E+06,1.00E+06,103.00,100.01,1.00E+09,1.00E+09,1.00E+09,1.00E+09,104.00,100.01,1.00E+12,1.00E+12,1.00E+12,1.00E+12,105.00,100.01,1.00E+15,1.00E+15,1.00E+15,1.00E+15
1,0.00,0.00,0.00E+00,0.00E+00,1.00E+00,1.00,101.00,100.01,1.00E+01,1.00E-01,1.01E+03,1.01,102.00,100.01,2.00E+04,1.00E+02,1.02E+06,1.02,103.00,100.01,3.00E+07,1.00E+05,1.03E+09,1.03,104.00,100.01,4.00E+10,1.00E+08,1.04E+12,1.04,105.00,100.01,5.00E+13,1.00E+11,1.05E+15,1.05
2,0.00,0.00,0.00E+00,0.00E+00,1.00E+00,1.00,102.01,100.04,2.01E+01,4.00E-01,1.02E+03,1.02,104.04,100.04,4.04E+04,4.00E+02,1.04E+06,1.04,106.09,100.04,6.09E+07,4.00E+05,1.06E+09,1.06,108.16,100.04,8.16E+10,4.00E+08,1.08E+12,1.08,110.25,100.04,1.03E+14,4.00E+11,1.10E+15,1.10
3,0.00,0.00,0.00E+00,0.00E+00,1.00E+00,1.00,103.03,100.09,3.03E+01,9.00E-01,1.03E+03,1.03,106.12,100.09,6.12E+04,9.00E+02,1.06E+06,1.06,109.27,100.09,9.27E+07,9.00E+05,1.09E+09,1.09,112.49,100.09,1.25E+11,9.00E+08,1.13E+12,1.13,115.76,100.09,1.58E+14,9.00E+11,1.16E+15,1.16
4,0.00,0.00,0.00E+00,0.00E+00,1.00E+00,1.00,104.06,100.16,4.06E+01,1.60E+00,1.04E+03,1.04,108.24,100.16,8.24E+04,1.60E+03,1.08E+06,1.08,112.55,100.16,1.26E+08,1.60E+06,1.13E+09,1.13,116.99,100.16,1.70E+11,1.60E+09,1.17E+12,1.17,121.55,100.16,2.16E+14,1.60E+12,1.22E+15,1.22
5,0.00,0.00,0.00E+00,0.00E+00,1.00E+00,1.00,105.10,100.25,5.10E+01,2.50E+00,1.05E+03,1.05,110.41,100.25,1.04E+05,2.50E+03,1.11E+06,1.11,115.93,100.25,1.59E+08,2.50E+06,1.16E+09,1.16,121.67,100.25,2.17E+11,2.50E+09,1.22E+12,1.22,127.63,100.25,2.76E+14,2.50E+12,1.28E+15,1.28
6,0.00,0.00,0.00E+00,0.00E+00,1.00E+00,1.00,106.15,100.36,6.15E+01,3.61E+00,1.07E+03,1.07,112.62,100.36,1.26E+05,3.61E+03,1.13E+06,1.13,119.41,100.36,1.94E+08,3.61E+06,1.20E+09,1.20,126.53,100.36,2.65E+11,3.61E+09,1.27E+12,1.27,134.01,100.36,3.40E+14,3.61E+12,1.34E+15,1.34
7,0.00,0.00,0.00E+00,0.00E+00,1.00E+00,1.00,107.21,100.49,7.21E+01,4.91E+00,1.08E+03,1.08,114.87,100.49,1.49E+05,4.91E+03,1.15E+06,1.15,122.99,100.49,2.30E+08,4.91E+06,1.23E+09,1.23,131.59,100.49,3.16E+11,4.91E+09,1.32E+12,1.32,140.71,100.49,4.07E+14,4.91E+12,1.41E+15,1.41
8,0.00,0.00,0.00E+00,0.00E+00,1.00E+00,1.00,108.29,100.64,8.29E+01,6.42E+00,1.09E+03,1.09,117.17,100.64,1.72E+05,6.42E+03,1.18E+06,1.18,126.68,100.64,2.67E+08,6.42E+06,1.27E+09,1.27,136.86,100.64,3.69E+11,6.42E+09,1.37E+12,1.37,147.75,100.64,4.77E+14,6.42E+12,1.48E+15,1.48
9,0.00,0.00,0.00E+00,0.00E+00,1.00E+00,1.00,109.37,100.81,9.37E+01,8.13E+00,1.10E+03,1.10,119.51,100.81,1.95E+05,8.13E+03,1.20E+06,1.20,130.48,100.81,3.05E+08,8.13E+06,1.31E+09,1.31,142.33,100.81,4.23E+11,8.13E+09,1.43E+12,1.43,155.13,100.81,5.51E+14,8.13E+12,1.56E+15,1.56
